merged_point_id,segment_ids_with_directions,geometry,stop_xy,segment_id,direction,travelDirection
2984,MAG_6524_E,POINT (-112.09143352552054 40.298292174650726),407240_4461440,MAG_6524,E,WB
2985,MAG_6229_E,POINT (-112.07543435745299 40.298106092656596),408600_4461400,MAG_6229,E,WB
2985,MAG_6347_E,POINT (-112.07543435745299 40.298106092656596),408600_4461400,MAG_6347,E,WB
2986,MAG_6501_E,POINT (-112.06870966420611 40.37687552041526),409280_4470140,MAG_6501,E,WB
2987,MAG_6231_E,POINT (-112.05912380454193 40.37683738433168),410100_4470120,MAG_6231,E,WB
2988,MAG_6234_E,POINT (-112.07664308204014 40.292226486350565),408500_4460740,MAG_6234,E,WB
2988,MAG_6332_E,POINT (-112.07664308204014 40.292226486350565),408500_4460740,MAG_6332,E,WB
2989,MAG_6235_E,POINT (-112.04377809632356 40.298434656020774),411300_4461400,MAG_6235,E,WB
2989,MAG_6530_E,POINT (-112.04377809632356 40.298434656020774),411300_4461400,MAG_6530,E,WB
2989,MAG_6531_E,POINT (-112.04377809632356 40.298434656020774),411300_4461400,MAG_6531,E,WB
2990,MAG_6780_E,POINT (-112.01045987506302 40.2614855523921),414080_4457260,MAG_6780,E,WB
2991,MAG_6236_E,POINT (-112.00255378284032 40.26148146245014),414740_4457260,MAG_6236,E,WB
2991,MAG_6575_E,POINT (-112.00255378284032 40.26148146245014),414740_4457260,MAG_6575,E,WB
2992,MAG_6351_E,POINT (-111.99980967360003 40.326463857376204),415060_4464480,MAG_6351,E,WB
2992,MAG_6744_E,POINT (-111.99980967360003 40.326463857376204),415060_4464480,MAG_6744,E,WB
2993,MAG_6238_E,POINT (-111.99471415373978 40.32007235611075),415480_4463760,MAG_6238,E,WB
2993,MAG_6746_E,POINT (-111.99471415373978 40.32007235611075),415480_4463760,MAG_6746,E,WB
2993,MAG_6749_E,POINT (-111.99471415373978 40.32007235611075),415480_4463760,MAG_6749,E,WB
2995,MAG_6243_E,POINT (-111.99911414959308 40.246782848763424),415020_4455620,MAG_6243,E,WB
2995,MAG_6571_E,POINT (-111.99911414959308 40.246782848763424),415020_4455620,MAG_6571,E,WB
2996,MAG_6403_E,POINT (-111.68180176825582 40.11503212601137),441900_4440740,MAG_6403,E,WB
2997,MAG_6249_E,POINT (-111.67841448582942 40.11307487997016),442180_4440520,MAG_6249,E,WB
2997,MAG_6497_E,POINT (-111.67841448582942 40.11307487997016),442180_4440520,MAG_6497,E,WB
2998,MAG_6250_E,POINT (-111.67433198994864 40.1106229546821),442540_4440260,MAG_6250,E,WB
2999,MAG_6252_E,POINT (-111.72775809527771 40.282584869750764),438140_4459380,MAG_6252,E,WB
